year,AutismCount,AutismGeneCount,AutismExpCount,AutismEnvCount
1980,121,4,0,8
1981,113,8,1,8
1982,141,12,3,7
1983,148,14,3,8
1984,178,16,0,12
1985,179,26,1,12
1986,185,29,1,11
1987,213,17,0,9
1988,241,28,2,9
1989,241,32,3,16
1990,206,32,3,33
1991,234,35,1,26
1992,261,35,3,23
1993,249,27,1,15
1994,264,39,3,12
1995,230,23,9,17
1996,273,39,4,9
1997,287,43,8,11
1998,349,60,5,19
1999,351,65,6,10
2000,436,92,14,12
2001,574,116,10,18
2002,637,137,19,22
2003,642,149,17,28
2004,802,173,30,35
2005,859,167,29,40
2006,1045,228,45,46
2007,1214,276,56,63
2008,1444,362,59,74
2009,1596,396,61,81
2010,1869,491,87,107
2011,2126,574,78,112
2012,2514,612,113,122
2013,2886,651,177,160
2014,3272,773,192,165
2015,3940,661,195,174
2016,1086,143,46,29